  日期         确诊病例     疑似病例    治愈病例    死亡病例
2020-02-12		44742		16067		4768		1114
2020-02-13		59885		16067		5963		1368
2020-02-14		63929		13435		6990		1489
2020-02-17		70635		7264		10853		1772
2020-02-18		72528		6242		12561		1870
2020-02-20		74675		4922		11864		2121
2020-02-23		77043		4148		23061		2445
2020-02-24		77262		3434		24856		2595
2020-02-25		77779		2824		27404		2666
2020-02-28		78961		2308		36321		2791
2020-02-29		79389		1418		39102		2838
2020-03-02		80174		715		    44518		2915
2020-03-04		80422		520		    49925		2984
2020-03-05		80565		522		    52109		3015
2020-03-06		80710		482		    53802		3045
2020-03-09		80904		421		    58793		3123
2020-03-10		80924		349		    59983		3140
2020-03-12		80980		253			62888		3173
2020-03-17		81117		128			68799		3231
